"('A',)","('B',)","('C',)","('D',)","('E',)","('F',)","('G',)","('A', 'B')","('A', 'C')","('A', 'D')","('A', 'E')","('A', 'F')","('A', 'G')","('B', 'C')","('B', 'D')","('B', 'E')","('B', 'F')","('B', 'G')","('C', 'D')","('C', 'E')","('C', 'F')","('C', 'G')","('D', 'E')","('D', 'F')","('D', 'G')","('E', 'F')","('E', 'G')","('F', 'G')","('A', 'B', 'C')","('A', 'B', 'D')","('A', 'B', 'E')","('A', 'B', 'F')","('A', 'B', 'G')","('A', 'C', 'D')","('A', 'C', 'E')","('A', 'C', 'F')","('A', 'C', 'G')","('A', 'D', 'E')","('A', 'D', 'F')","('A', 'D', 'G')","('A', 'E', 'F')","('A', 'E', 'G')","('A', 'F', 'G')","('B', 'C', 'D')","('B', 'C', 'E')","('B', 'C', 'F')","('B', 'C', 'G')","('B', 'D', 'E')","('B', 'D', 'F')","('B', 'D', 'G')","('B', 'E', 'F')","('B', 'E', 'G')","('B', 'F', 'G')","('C', 'D', 'E')","('C', 'D', 'F')","('C', 'D', 'G')","('C', 'E', 'F')","('C', 'E', 'G')","('C', 'F', 'G')","('D', 'E', 'F')","('D', 'E', 'G')","('D', 'F', 'G')","('E', 'F', 'G')","('A', 'B', 'C', 'D')","('A', 'B', 'C', 'E')","('A', 'B', 'C', 'F')","('A', 'B', 'C', 'G')","('A', 'B', 'D', 'E')","('A', 'B', 'D', 'F')","('A', 'B', 'D', 'G')","('A', 'B', 'E', 'F')","('A', 'B', 'E', 'G')","('A', 'B', 'F', 'G')","('A', 'C', 'D', 'E')","('A', 'C', 'D', 'F')","('A', 'C', 'D', 'G')","('A', 'C', 'E', 'F')","('A', 'C', 'E', 'G')","('A', 'C', 'F', 'G')","('A', 'D', 'E', 'F')","('A', 'D', 'E', 'G')","('A', 'D', 'F', 'G')","('A', 'E', 'F', 'G')","('B', 'C', 'D', 'E')","('B', 'C', 'D', 'F')","('B', 'C', 'D', 'G')","('B', 'C', 'E', 'F')","('B', 'C', 'E', 'G')","('B', 'C', 'F', 'G')","('B', 'D', 'E', 'F')","('B', 'D', 'E', 'G')","('B', 'D', 'F', 'G')","('B', 'E', 'F', 'G')","('C', 'D', 'E', 'F')","('C', 'D', 'E', 'G')","('C', 'D', 'F', 'G')","('C', 'E', 'F', 'G')","('D', 'E', 'F', 'G')","('A', 'B', 'C', 'D', 'E')","('A', 'B', 'C', 'D', 'F')","('A', 'B', 'C', 'D', 'G')","('A', 'B', 'C', 'E', 'F')","('A', 'B', 'C', 'E', 'G')","('A', 'B', 'C', 'F', 'G')","('A', 'B', 'D', 'E', 'F')","('A', 'B', 'D', 'E', 'G')","('A', 'B', 'D', 'F', 'G')","('A', 'B', 'E', 'F', 'G')","('A', 'C', 'D', 'E', 'F')","('A', 'C', 'D', 'E', 'G')","('A', 'C', 'D', 'F', 'G')","('A', 'C', 'E', 'F', 'G')","('A', 'D', 'E', 'F', 'G')","('B', 'C', 'D', 'E', 'F')","('B', 'C', 'D', 'E', 'G')","('B', 'C', 'D', 'F', 'G')","('B', 'C', 'E', 'F', 'G')","('B', 'D', 'E', 'F', 'G')","('C', 'D', 'E', 'F', 'G')","('A', 'B', 'C', 'D', 'E', 'F')","('A', 'B', 'C', 'D', 'E', 'G')","('A', 'B', 'C', 'D', 'F', 'G')","('A', 'B', 'C', 'E', 'F', 'G')","('A', 'B', 'D', 'E', 'F', 'G')","('A', 'C', 'D', 'E', 'F', 'G')","('B', 'C', 'D', 'E', 'F', 'G')","('A', 'B', 'C', 'D', 'E', 'F', 'G')"
33,31,29,16,24,17,24,41,58,18,25,13,19,31,18,17,9,23,16,22,10,21,6,24,6,19,10,5,39,23,23,14,13,21,24,10,21,4,8,4,6,7,2,17,14,5,23,3,8,4,4,11,2,4,6,7,10,6,0,2,0,0,5,24,25,15,11,9,16,0,10,6,2,7,8,5,7,6,0,3,0,0,2,5,7,4,5,6,0,3,0,0,2,2,0,0,0,0,15,19,0,15,4,0,9,0,0,2,6,0,0,0,0,5,0,0,0,0,0,15,0,0,0,0,0,0,0
37,30,29,15,27,16,25,48,67,17,20,13,17,31,14,17,12,23,12,21,12,17,8,24,5,14,13,9,34,25,10,19,18,20,24,14,19,4,7,6,3,2,1,9,9,11,17,2,10,1,5,10,3,4,4,7,4,2,0,3,0,8,8,11,3,17,15,2,16,3,0,1,1,4,5,11,1,2,0,0,0,0,0,2,8,0,1,0,0,1,0,0,6,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,28,28,16,28,17,25,37,60,10,26,9,19,26,14,21,14,21,10,12,11,19,12,24,11,11,12,16,39,9,9,10,9,9,11,20,24,2,3,2,0,1,4,9,7,10,9,6,10,7,4,15,8,2,4,2,1,0,3,9,4,20,6,7,0,17,14,0,2,2,0,0,3,0,5,4,0,0,9,0,0,2,0,4,5,2,0,0,3,3,4,8,4,0,0,2,0,6,0,4,4,0,0,9,0,0,2,0,0,0,4,0,0,0,0,2,0,4,0,0,0,4,0,0,0,0,0
39,31,25,17,28,19,23,43,49,9,28,11,20,24,17,25,19,19,7,16,7,22,20,28,6,10,9,19,29,9,16,15,13,6,10,11,29,9,3,0,3,5,2,6,7,7,5,12,18,7,9,7,13,5,2,0,2,5,1,7,0,22,1,0,0,6,7,7,3,0,10,1,1,0,4,0,0,5,1,0,0,0,1,5,3,0,2,0,1,4,0,22,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
38,30,25,18,28,20,20,45,36,17,28,12,18,19,13,18,21,18,8,13,4,18,29,23,4,12,7,6,23,11,14,16,10,4,12,4,10,17,4,0,8,5,3,4,3,2,9,6,8,3,10,3,8,6,3,0,2,5,2,11,0,5,0,2,4,2,3,4,0,0,12,0,3,5,2,0,3,2,2,3,0,0,0,1,0,0,0,0,3,1,0,5,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,28,23,22,29,19,20,45,32,20,33,16,22,18,20,26,17,17,10,12,5,14,23,26,4,22,15,6,16,15,17,14,14,13,13,4,6,12,6,1,4,13,1,8,8,1,6,14,14,3,15,10,6,4,0,0,1,3,2,20,2,4,4,10,6,1,3,5,0,1,2,8,1,3,0,0,1,1,1,0,1,0,0,3,0,0,1,2,2,10,2,2,4,0,0,0,1,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
38,27,25,24,28,19,21,37,39,30,31,18,23,23,26,18,15,15,11,18,5,15,30,35,11,13,19,4,21,21,11,6,11,12,16,6,7,23,17,7,9,14,3,11,8,2,7,15,34,6,9,10,1,7,5,1,1,7,0,21,9,2,2,9,8,1,5,6,5,5,0,5,0,6,5,1,0,3,0,9,6,2,3,4,3,0,1,4,0,18,5,1,1,2,0,0,0,2,3,1,0,0,3,0,0,2,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
36,27,25,24,26,20,21,30,46,26,31,22,18,19,31,22,23,18,9,20,10,17,32,31,16,18,21,10,13,15,10,13,12,11,19,10,9,31,20,11,17,9,10,2,10,3,11,25,45,13,14,7,5,8,5,2,9,10,0,20,13,7,4,1,4,2,4,7,10,6,6,1,2,13,7,0,11,1,0,18,9,6,5,3,1,1,4,5,0,27,6,4,1,4,0,0,0,4,2,1,0,4,0,0,4,0,0,0,7,0,0,0,9,2,0,0,0,0,0,2,0,0,0,0,0,0,0
35,25,23,25,27,21,20,27,40,20,30,19,18,18,28,29,22,17,10,20,8,17,28,31,14,20,18,12,14,9,15,6,7,9,18,6,15,13,8,6,14,5,7,2,9,2,11,29,35,11,22,13,9,6,7,4,5,10,4,25,17,17,12,1,1,1,5,1,4,3,3,1,1,9,3,2,4,3,3,7,3,3,4,1,1,0,1,7,0,35,17,16,10,2,2,5,3,18,1,1,0,1,0,0,1,0,0,1,3,2,2,2,3,1,0,0,0,23,1,1,0,0,0,0,2,0,0
37,26,25,27,28,21,24,19,52,35,35,15,22,13,24,28,21,25,21,18,8,13,24,33,16,15,19,17,12,7,12,5,12,49,34,9,12,23,18,6,3,13,6,1,4,0,8,20,23,8,11,17,9,11,14,3,0,3,2,17,9,7,4,2,2,0,7,2,5,0,0,6,0,34,18,2,0,3,1,1,4,0,1,0,0,0,0,0,0,16,5,4,3,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
34,26,26,27,27,24,22,17,52,25,29,26,24,13,28,20,20,21,26,26,18,16,24,24,16,12,15,22,17,6,15,8,16,36,27,23,20,12,23,9,5,10,17,1,12,3,9,15,14,5,4,12,11,17,24,6,2,11,6,7,4,6,4,0,14,1,15,6,1,1,3,8,6,3,32,3,1,16,5,0,1,5,1,0,2,0,0,11,1,5,1,1,0,2,1,5,0,0,0,0,0,0,12,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,25,27,30,27,24,24,24,45,24,36,23,25,13,28,24,18,15,24,27,19,16,21,25,15,14,14,18,16,11,21,16,7,21,28,18,23,10,14,7,7,8,11,8,14,7,4,11,20,10,8,8,5,9,15,3,3,8,7,8,4,6,2,5,17,10,5,3,10,2,5,4,1,3,7,7,3,2,7,2,0,3,0,3,6,1,3,2,0,6,3,5,1,3,0,0,0,2,0,5,1,4,2,0,1,0,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
35,26,24,31,25,25,26,27,43,33,30,26,24,12,32,22,23,16,25,23,18,14,23,23,11,15,15,16,19,23,18,21,7,27,35,22,21,15,13,9,9,9,7,10,5,8,1,17,20,11,11,8,5,6,9,7,5,2,6,4,2,5,6,12,10,11,1,15,11,5,7,4,3,10,8,12,4,3,7,1,0,4,3,3,3,0,3,2,1,5,2,6,6,0,0,2,2,1,9,3,0,3,2,1,2,0,2,3,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0
36,29,22,33,26,27,28,37,43,40,40,26,25,19,35,25,26,19,19,24,21,15,34,29,19,19,17,17,28,35,25,21,8,38,43,17,12,35,16,18,16,16,7,14,9,16,5,24,19,14,16,5,9,13,11,9,18,9,8,11,8,8,10,28,19,14,3,24,13,11,10,1,5,32,10,9,12,8,4,8,9,6,5,10,8,5,8,1,5,12,1,7,5,4,2,3,6,3,25,9,5,8,0,2,5,1,7,1,3,3,2,2,3,4,0,2,2,1,0,4,0,2,0,1,0,0,0
37,30,19,35,27,30,29,40,31,41,37,36,32,16,31,22,23,26,23,22,17,17,46,35,33,23,26,20,17,25,28,23,28,25,23,21,10,34,27,26,20,22,12,12,7,8,11,25,20,21,10,15,5,21,11,12,11,11,11,24,26,16,14,11,9,5,9,23,17,19,14,18,6,19,8,10,6,4,5,18,17,7,8,7,6,10,4,4,3,11,17,7,4,11,4,5,6,6,8,4,8,2,3,2,13,18,9,6,8,4,2,1,5,4,4,4,3,6,3,4,4,4,2,9,2,4,4
36,27,23,33,25,31,29,37,28,34,31,41,26,18,24,17,24,26,32,19,23,16,42,45,33,25,20,24,22,28,17,34,23,29,22,12,16,30,24,21,16,10,14,17,4,5,14,22,19,20,10,7,8,21,25,16,11,6,4,38,19,27,11,26,8,8,18,25,22,20,10,5,12,12,16,21,4,5,5,19,6,10,2,6,9,15,2,0,2,14,5,9,4,13,6,6,0,11,10,15,24,4,0,5,15,1,12,4,6,5,10,0,0,5,0,5,0,2,0,8,0,12,0,0,0,0,0
33,26,23,32,23,35,26,36,22,26,26,30,25,17,28,13,22,20,25,18,30,14,35,54,28,25,14,19,17,25,8,21,26,12,14,20,10,22,21,14,20,8,12,14,2,9,6,17,26,12,8,5,7,15,38,6,14,3,9,29,15,20,10,12,2,13,10,10,14,8,3,2,11,6,6,1,8,2,7,12,9,8,8,0,3,0,2,0,4,8,7,6,2,16,2,5,4,14,0,2,0,0,0,10,6,3,3,1,0,0,1,2,9,0,0,0,0,3,4,0,0,0,0,2,0,0,0
31,23,21,32,19,37,25,25,17,24,20,24,28,20,29,13,24,14,31,6,23,10,32,61,20,23,15,23,10,10,13,12,14,5,3,12,9,21,24,6,11,11,10,33,3,19,4,11,23,8,6,10,10,9,28,5,5,1,8,37,16,32,14,0,0,9,7,5,5,2,4,8,9,7,4,0,4,1,5,16,8,8,7,2,18,0,2,1,4,5,9,7,7,7,0,7,1,17,0,0,0,0,0,7,4,4,2,4,6,0,0,1,8,1,0,0,1,6,0,0,0,0,0,4,0,0,0
30,24,19,30,22,37,24,24,19,18,21,20,33,24,24,15,28,17,16,8,19,6,32,73,13,35,12,25,16,3,6,6,21,7,5,9,4,18,26,8,18,16,8,21,5,22,3,8,39,5,9,8,12,7,16,1,9,1,2,51,13,24,14,5,1,5,2,1,1,0,4,8,4,4,7,0,5,0,0,34,11,12,12,1,14,1,2,1,0,6,5,10,6,11,1,0,0,19,0,2,0,0,0,0,0,0,0,4,9,0,0,0,24,0,1,0,0,4,0,0,0,0,0,0,0,0,0
30,25,21,31,21,37,25,29,29,18,21,10,31,29,26,15,25,17,19,14,15,11,36,83,16,29,16,12,31,5,16,5,11,6,11,3,9,16,17,12,10,11,3,18,12,5,8,14,44,8,5,12,6,12,18,6,8,6,1,51,14,15,9,6,10,3,6,6,3,3,3,8,1,0,2,2,0,4,0,21,6,4,7,8,2,5,0,8,0,10,13,7,4,8,8,0,0,14,0,1,0,0,4,0,6,6,2,3,0,0,0,0,10,0,9,0,0,10,0,0,0,0,0,6,0,0,0
32,23,21,28,21,34,25,38,43,26,27,15,23,27,25,14,39,11,20,15,14,17,32,64,17,25,12,17,51,27,23,25,13,27,24,7,17,30,26,19,13,7,8,18,12,13,9,23,55,12,18,4,20,23,20,7,9,5,4,35,10,17,9,24,24,9,10,36,47,18,18,6,21,42,14,11,8,5,3,28,9,16,6,20,18,7,10,2,5,36,9,32,9,18,5,6,2,14,40,20,12,9,4,5,42,16,42,14,20,9,9,3,15,18,6,9,3,21,6,24,12,15,5,33,9,9,15
31,25,23,28,18,33,21,41,45,23,16,31,9,25,26,17,47,9,18,16,20,13,37,51,15,30,9,18,52,24,19,62,4,17,14,25,3,25,25,1,23,2,3,15,9,28,8,33,52,2,40,3,6,27,15,1,18,2,9,38,9,11,10,19,15,51,1,31,66,0,57,2,2,20,19,0,21,1,2,25,0,0,2,17,28,0,29,2,8,50,0,1,3,15,0,0,2,9,21,54,0,51,1,2,67,0,0,2,20,0,0,2,0,29,0,0,2,0,0,55,0,0,2,0,0,0,0
29,25,24,27,19,34,20,40,50,14,14,42,14,20,20,15,47,10,21,17,36,16,28,46,14,29,13,15,34,11,17,71,10,16,16,49,9,7,15,1,37,3,11,8,13,38,5,23,38,6,39,4,9,14,23,6,30,2,13,33,11,11,7,5,15,53,2,9,18,1,66,1,7,4,17,0,42,4,10,5,0,1,6,5,4,3,41,0,4,34,8,6,5,7,0,3,4,9,3,3,0,54,0,2,13,0,1,2,1,0,0,8,0,1,0,2,0,8,0,1,0,0,0,0,0,0,0
25,24,25,26,20,31,18,27,55,14,10,28,8,19,24,15,33,12,21,13,36,12,22,50,15,26,13,19,26,15,10,27,6,24,16,50,5,6,21,1,20,2,6,11,9,24,2,14,43,9,32,6,15,7,30,1,29,0,8,34,11,22,11,18,10,34,0,7,23,0,20,2,4,10,35,0,45,0,2,13,0,1,2,4,19,0,23,0,2,32,8,15,11,18,0,0,0,16,9,28,0,31,0,0,12,0,0,2,31,0,0,0,0,14,0,0,0,15,0,24,0,0,0,0,0,0,0
26,25,24,26,20,28,19,23,59,14,17,17,6,17,20,11,20,10,19,14,23,9,24,39,13,21,11,19,28,14,13,14,4,31,37,43,4,10,11,1,16,1,6,14,10,15,3,13,25,4,12,1,10,14,16,3,20,1,6,36,8,8,6,24,28,39,3,10,13,0,14,0,3,26,36,1,51,0,4,14,0,0,1,8,12,0,16,0,3,27,2,5,2,18,1,0,0,5,24,36,0,48,0,3,16,0,0,0,48,0,0,0,0,16,0,0,0,4,0,48,0,0,0,0,0,0,0
25,25,20,25,19,30,19,29,42,15,21,14,5,21,21,14,17,11,22,17,13,7,24,35,13,20,9,13,45,16,18,9,3,27,30,16,3,11,8,1,19,3,4,16,14,7,2,16,9,2,13,0,4,18,7,1,12,1,3,21,8,7,4,31,31,13,2,15,6,0,16,0,0,20,8,0,24,0,3,8,1,1,2,9,4,0,13,0,0,8,0,0,0,4,1,0,0,4,17,8,0,25,0,0,6,0,0,0,8,0,0,0,1,4,0,0,0,0,0,8,0,0,0,0,0,0,0
26,26,18,25,19,31,21,34,41,30,17,16,11,20,21,15,20,12,20,15,9,9,18,37,16,15,11,15,43,21,20,13,4,41,25,9,1,17,4,5,6,0,6,14,19,9,0,13,13,6,10,1,5,18,9,0,5,1,0,8,5,19,5,22,34,12,0,12,1,0,8,0,0,27,2,0,5,0,0,4,0,0,0,13,7,0,7,0,0,5,4,6,0,5,0,0,0,0,17,2,0,9,0,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
28,27,18,27,19,35,21,29,43,33,16,25,17,22,21,14,27,10,17,18,9,8,18,45,12,15,9,20,28,21,15,14,4,33,27,9,9,17,38,19,8,3,14,14,17,8,4,14,14,4,6,1,9,10,8,0,7,2,1,12,4,12,4,15,21,5,4,19,6,4,3,0,4,12,6,0,5,0,1,11,6,20,2,10,3,0,6,0,1,4,0,2,1,4,0,0,0,3,12,0,0,4,0,1,0,0,2,0,2,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
29,26,19,24,18,34,18,23,29,23,12,27,16,19,15,16,27,9,22,14,12,5,22,40,14,11,13,16,22,14,9,8,8,20,12,17,5,8,37,12,4,5,13,15,11,8,6,9,16,4,10,6,3,13,15,3,5,2,1,16,13,17,6,17,9,8,8,7,16,4,4,4,1,7,18,3,3,2,1,5,4,16,1,8,9,6,5,4,0,7,4,2,1,6,2,0,0,10,7,13,6,3,4,0,4,4,2,1,2,2,0,0,3,4,4,0,0,2,0,2,4,0,0,2,0,0,0
28,26,20,24,17,34,18,21,22,20,12,27,16,16,20,17,32,13,13,12,17,11,21,43,18,19,12,17,16,15,10,19,14,15,11,18,11,8,29,11,12,6,15,11,8,14,12,15,27,9,14,8,11,6,14,8,5,5,9,35,14,25,14,14,8,19,12,9,22,10,10,8,13,8,20,11,9,5,13,12,6,20,7,7,13,9,8,6,12,20,6,12,8,7,4,13,5,21,10,18,12,12,8,15,12,8,14,10,12,6,20,7,10,9,7,11,8,9,7,14,10,16,12,12,10,9,14
28,28,22,22,19,31,18,37,20,19,12,26,16,18,21,16,31,12,13,13,16,15,18,35,13,22,13,23,18,18,12,31,11,11,4,8,8,11,17,6,17,6,17,9,4,9,7,12,23,8,18,9,16,6,12,4,7,7,11,26,12,17,20,8,3,7,6,12,20,10,21,10,20,3,7,1,2,1,4,10,6,9,18,3,9,2,3,2,3,16,9,12,20,6,4,7,7,21,2,7,1,2,1,2,15,10,15,24,2,1,2,2,9,3,2,3,3,15,6,2,1,2,2,15,2,3,2
24,28,22,20,19,27,19,38,23,7,9,11,14,17,19,13,23,12,9,12,12,9,16,20,12,25,13,24,22,6,8,8,12,4,4,4,2,2,4,4,2,5,8,5,3,3,2,9,11,10,12,8,10,2,4,3,7,5,5,14,7,8,21,3,2,1,1,2,3,6,2,6,6,1,2,0,1,0,2,0,3,2,3,1,1,1,1,1,0,5,7,4,8,0,1,0,3,5,0,1,0,1,0,0,0,4,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,28,22,22,19,26,22,36,24,7,8,8,13,15,20,14,18,15,14,13,14,8,14,21,11,29,15,24,22,8,8,7,9,5,4,6,4,4,3,2,1,3,5,8,4,6,2,8,9,5,10,7,14,8,9,4,10,3,4,14,5,3,15,4,2,4,1,4,2,1,1,5,3,2,4,1,1,1,2,1,1,1,0,5,6,2,5,1,0,6,2,0,5,5,2,0,0,1,2,3,1,1,1,0,1,1,0,0,1,1,0,0,0,5,1,0,0,0,0,1,1,0,0,0,0,0,0
24,26,24,25,18,27,20,36,26,8,8,10,9,18,21,11,19,14,13,10,13,10,14,26,9,28,12,20,21,8,9,13,3,6,5,3,7,3,4,0,0,1,2,7,3,2,1,5,12,6,6,4,10,6,8,1,10,1,3,14,6,8,19,5,4,2,0,2,7,0,0,0,1,3,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,3,0,8,5,4,1,1,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,24,24,25,19,27,17,32,38,7,13,5,11,35,18,12,15,9,7,10,11,11,18,30,10,20,12,10,36,6,14,4,3,2,17,3,10,0,7,0,1,3,0,8,6,5,7,9,13,6,2,4,2,2,4,0,4,2,0,13,7,2,9,0,17,0,3,0,6,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,2,6,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,25,26,20,26,17,24,45,6,22,2,11,28,14,11,22,5,3,10,10,13,20,30,11,13,16,7,33,1,14,4,5,0,24,2,14,7,0,0,1,10,0,2,6,12,9,5,14,0,3,4,2,3,4,0,3,5,1,12,7,3,5,0,15,4,9,0,0,0,0,6,0,0,0,0,1,8,0,0,0,0,0,0,2,0,0,4,2,3,0,0,0,3,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,26,27,27,18,25,17,20,47,9,18,4,15,29,17,11,19,8,6,15,8,15,26,28,7,11,13,14,18,4,9,2,3,4,19,0,17,9,1,0,0,11,1,2,6,9,8,9,12,0,1,3,5,4,5,1,1,7,5,15,8,8,7,1,5,0,0,2,0,0,0,4,0,4,0,0,0,8,0,0,0,0,0,1,1,0,0,0,7,1,0,0,0,1,1,3,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,29,26,25,18,25,18,25,38,21,19,14,14,34,20,12,18,11,8,14,12,12,27,30,14,16,12,17,23,15,8,10,5,8,9,4,11,13,15,3,4,7,0,7,9,9,13,8,11,0,1,2,5,5,6,3,2,4,7,19,12,14,5,8,1,2,5,9,9,0,1,0,0,3,2,1,1,1,0,1,0,0,0,2,2,0,0,0,6,0,0,0,0,0,2,4,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,31,28,23,18,28,20,33,45,22,21,25,13,26,22,15,23,16,17,15,18,15,23,32,13,21,12,20,30,21,11,12,6,25,18,21,7,16,20,3,10,6,5,11,3,8,6,9,11,8,6,1,4,16,13,6,9,10,2,24,9,10,10,10,2,7,1,9,8,4,0,0,1,15,17,3,11,4,1,11,1,1,1,2,1,3,1,1,0,2,1,0,0,11,5,1,2,9,0,1,1,0,0,0,0,0,0,0,11,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,32,32,21,18,29,21,38,50,29,17,33,12,24,19,16,28,21,24,14,31,12,23,35,10,21,16,23,30,22,14,22,10,37,12,43,4,21,50,4,15,4,4,8,4,21,2,11,13,8,5,9,9,19,40,8,16,4,11,29,10,13,12,1,2,18,0,13,16,6,0,4,0,21,62,2,20,1,4,33,2,2,0,4,10,1,2,1,0,1,5,0,3,29,5,16,5,13,2,0,0,0,0,0,0,4,0,0,42,0,4,0,0,1,1,0,0,0,10,0,0,0,0,0,0,0,0
29,33,31,20,19,28,19,36,45,22,15,30,18,29,22,18,24,26,22,12,32,15,21,42,11,19,12,23,37,21,11,7,18,26,11,32,10,12,45,8,13,4,4,14,4,14,7,12,12,10,6,14,17,10,24,7,8,4,14,42,8,13,8,14,3,7,2,10,4,14,1,8,0,7,36,6,11,1,1,38,2,0,0,4,3,4,1,2,8,10,5,1,3,16,3,3,3,8,2,3,3,0,1,0,2,6,0,0,22,0,0,0,0,2,1,1,1,1,3,0,0,0,0,0,0,1,0
29,36,30,21,21,28,20,39,44,17,15,28,25,33,19,22,28,26,17,13,15,19,18,43,9,18,12,21,27,14,14,16,30,15,11,11,19,8,22,5,11,9,5,7,8,6,5,11,22,6,12,17,20,7,19,7,8,5,3,35,4,14,9,7,3,4,3,9,16,5,6,17,1,3,4,6,2,1,1,12,1,0,0,4,5,2,3,2,0,12,3,5,7,17,2,2,2,8,2,3,3,1,0,0,11,3,0,0,2,0,0,0,0,5,0,0,0,0,2,1,0,0,0,0,0,0,0
37,33,29,19,24,30,20,46,51,19,21,29,28,31,21,22,30,21,18,16,19,17,13,41,9,28,10,19,43,17,14,21,22,13,16,13,13,10,28,4,20,7,9,7,7,10,11,9,28,6,17,6,12,10,20,8,14,7,4,33,4,14,4,3,7,5,5,5,17,4,11,5,6,9,11,7,11,6,1,20,2,2,1,1,9,3,3,2,4,16,3,4,2,14,6,1,0,4,1,4,2,3,2,1,9,1,2,0,7,6,1,0,0,0,1,1,0,4,0,0,1,1,0,0,0,0,0
37,31,31,19,22,31,22,41,64,14,26,26,24,35,18,19,28,19,19,16,22,20,19,43,8,36,12,22,79,9,25,20,9,11,19,17,14,14,17,3,23,7,9,11,10,15,13,15,31,6,23,2,14,8,20,10,8,6,10,46,8,21,13,8,24,16,11,10,14,2,17,2,9,6,6,5,8,4,9,18,3,3,3,6,13,6,6,2,9,32,4,13,4,8,4,11,3,22,6,6,4,8,4,9,15,2,2,2,4,4,4,4,3,6,2,10,2,10,4,4,4,4,4,2,4,2,4
39,29,33,21,21,31,21,44,78,16,24,26,22,43,18,16,22,17,19,18,19,17,25,41,9,38,16,17,92,15,23,16,14,13,26,13,19,12,9,4,13,10,14,12,16,10,11,11,12,4,13,9,9,12,17,6,14,11,15,58,14,15,19,15,32,9,11,12,6,5,8,10,11,4,0,0,7,11,14,4,4,5,8,4,3,1,5,6,6,7,6,4,7,29,10,13,14,33,4,0,0,5,6,8,4,8,4,6,0,0,0,7,4,1,1,1,5,4,29,0,0,0,5,4,0,1,0
37,28,32,24,21,31,20,43,59,17,22,24,22,50,17,16,21,15,21,17,15,17,27,51,5,39,13,14,77,20,14,11,13,20,11,4,18,9,11,2,18,12,7,15,18,6,17,10,15,3,16,8,6,16,19,1,23,12,5,73,4,6,9,29,13,0,15,8,8,2,10,9,3,1,0,1,2,15,2,13,2,2,6,2,1,2,9,15,3,11,2,2,2,39,1,0,5,5,2,0,2,0,17,0,10,2,0,0,0,1,0,2,2,0,2,0,3,0,0,0,2,0,0,0,0,0,0
36,27,30,25,21,33,19,36,48,23,24,31,21,39,29,20,28,19,25,13,21,17,31,59,8,41,13,7,46,23,14,19,14,22,5,22,16,17,30,6,28,10,6,31,11,13,22,27,41,11,30,11,3,18,33,12,20,6,0,71,6,3,4,26,3,5,12,17,24,2,25,4,4,6,18,10,10,0,0,47,0,3,4,14,24,22,8,11,0,57,11,0,2,39,8,0,0,0,3,9,6,4,0,0,53,0,0,2,14,0,0,0,0,10,18,0,0,0,0,6,0,0,0,0,0,0,0
34,27,29,25,21,34,19,36,58,29,22,47,23,29,27,18,36,18,21,14,30,19,25,49,13,37,13,9,39,18,10,33,19,28,13,38,24,17,36,11,33,13,11,19,7,21,9,27,51,7,23,7,5,11,22,13,18,3,3,47,8,6,6,18,3,14,9,9,19,5,8,6,7,7,13,15,16,3,4,23,7,3,8,14,30,2,10,1,0,51,3,4,3,17,0,2,0,3,5,7,2,2,1,0,15,2,3,4,6,0,0,0,2,20,0,0,0,2,0,5,0,0,0,2,0,0,0
