"('A',)","('B',)","('C',)","('D',)","('E',)","('F',)","('A', 'B')","('A', 'C')","('A', 'D')","('A', 'E')","('A', 'F')","('B', 'C')","('B', 'D')","('B', 'E')","('B', 'F')","('C', 'D')","('C', 'E')","('C', 'F')","('D', 'E')","('D', 'F')","('E', 'F')","('A', 'B', 'C')","('A', 'B', 'D')","('A', 'B', 'E')","('A', 'B', 'F')","('A', 'C', 'D')","('A', 'C', 'E')","('A', 'C', 'F')","('A', 'D', 'E')","('A', 'D', 'F')","('A', 'E', 'F')","('B', 'C', 'D')","('B', 'C', 'E')","('B', 'C', 'F')","('B', 'D', 'E')","('B', 'D', 'F')","('B', 'E', 'F')","('C', 'D', 'E')","('C', 'D', 'F')","('C', 'E', 'F')","('D', 'E', 'F')","('A', 'B', 'C', 'D')","('A', 'B', 'C', 'E')","('A', 'B', 'C', 'F')","('A', 'B', 'D', 'E')","('A', 'B', 'D', 'F')","('A', 'B', 'E', 'F')","('A', 'C', 'D', 'E')","('A', 'C', 'D', 'F')","('A', 'C', 'E', 'F')","('A', 'D', 'E', 'F')","('B', 'C', 'D', 'E')","('B', 'C', 'D', 'F')","('B', 'C', 'E', 'F')","('B', 'D', 'E', 'F')","('C', 'D', 'E', 'F')","('A', 'B', 'C', 'D', 'E')","('A', 'B', 'C', 'D', 'F')","('A', 'B', 'C', 'E', 'F')","('A', 'B', 'D', 'E', 'F')","('A', 'C', 'D', 'E', 'F')","('B', 'C', 'D', 'E', 'F')","('A', 'B', 'C', 'D', 'E', 'F')"
25,20,21,22,24,31,17,12,8,4,4,10,1,6,5,10,8,3,4,3,6,8,1,2,3,1,4,1,0,1,0,0,6,2,0,0,1,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
25,21,21,22,24,31,17,13,7,5,3,10,1,7,5,8,8,3,4,3,7,10,1,2,3,1,4,1,0,1,0,0,6,2,0,0,2,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
26,21,21,22,24,31,18,14,7,7,3,11,2,5,5,8,8,3,4,3,8,12,3,3,3,1,6,1,1,1,1,0,6,2,1,0,2,0,0,2,0,0,4,1,1,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0
26,21,21,23,24,31,17,16,6,7,4,11,2,4,4,8,8,3,4,3,9,14,3,3,3,1,7,3,1,0,1,0,5,2,1,0,2,0,0,2,0,0,4,3,1,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0
26,21,21,24,24,31,16,18,5,8,5,13,2,6,4,8,8,4,4,2,9,14,2,5,3,1,11,3,1,0,2,0,6,2,1,0,2,0,0,2,0,0,8,3,1,0,2,0,0,3,0,0,0,2,0,0,0,0,3,0,0,0,0
26,21,21,23,24,31,16,20,3,8,5,12,4,6,3,8,8,4,4,2,8,16,2,5,2,1,12,4,1,0,2,1,6,2,1,0,1,0,0,2,0,0,9,4,1,0,2,0,0,4,0,0,0,2,0,0,0,0,4,0,0,0,0
26,20,21,23,24,31,16,20,4,7,3,12,3,7,2,8,8,5,3,2,8,18,2,7,2,2,12,4,1,0,2,1,7,2,1,0,1,0,0,2,0,1,12,4,1,0,2,0,0,4,0,0,0,2,0,0,0,0,4,0,0,0,0
26,21,21,23,24,31,17,20,4,8,3,13,4,8,3,9,8,5,3,2,7,20,2,7,2,3,11,4,1,0,2,2,7,2,1,0,1,1,0,2,0,2,10,4,1,0,2,1,0,4,0,1,0,2,0,0,1,0,4,0,0,0,0
25,21,21,23,24,31,16,20,4,9,3,12,4,7,4,9,7,5,3,2,8,19,2,8,2,3,10,4,1,0,2,1,5,2,1,0,2,1,1,2,0,1,9,4,1,0,2,1,0,4,0,0,0,2,0,0,0,0,4,0,0,0,0
25,21,20,24,24,31,17,21,5,10,3,12,5,7,4,9,6,5,5,3,9,20,3,7,2,3,10,4,2,0,2,2,5,2,1,0,3,0,1,2,0,2,10,4,0,0,2,0,0,4,0,0,0,2,0,0,0,0,4,0,0,0,0
25,22,20,24,23,31,17,22,8,8,3,12,6,6,4,8,7,5,3,3,10,19,4,7,2,3,10,4,0,0,2,2,6,2,0,1,2,0,0,3,0,2,10,4,0,0,2,0,0,4,0,0,0,3,0,0,0,0,4,0,0,0,0
25,23,20,24,23,31,18,22,8,8,3,12,7,6,5,10,6,6,3,3,9,17,4,6,1,4,7,4,0,0,2,2,5,2,0,1,2,0,0,3,0,2,5,2,0,0,1,0,0,4,0,0,0,3,0,0,0,0,2,0,0,0,0
25,23,20,25,23,31,17,20,8,8,3,11,7,8,5,12,6,6,4,4,9,11,5,6,1,5,6,4,0,0,3,2,5,2,1,1,2,0,0,3,0,2,4,2,0,0,2,0,0,5,0,0,0,3,0,0,0,0,3,0,0,0,0
25,23,20,25,23,31,16,22,11,7,3,12,7,8,5,11,5,6,4,3,10,11,6,5,1,6,4,2,0,0,2,2,4,2,1,1,2,0,0,3,0,2,4,2,0,0,2,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0
25,23,20,25,23,33,16,21,11,5,3,11,8,9,5,11,6,6,3,5,10,11,7,4,1,6,4,2,0,0,2,2,5,2,1,1,2,0,0,3,0,3,4,2,0,0,2,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0
25,23,20,25,23,32,15,20,11,4,2,10,10,8,5,12,5,7,3,5,10,9,7,3,1,7,4,2,0,0,2,3,4,3,1,1,2,0,0,3,0,3,3,1,0,0,2,0,0,3,0,0,0,2,0,0,0,0,2,0,0,0,0
25,23,20,25,23,32,15,17,10,4,2,11,7,10,4,13,5,6,3,5,10,9,5,3,1,5,4,1,0,0,2,2,4,3,1,1,2,0,0,2,0,2,3,1,0,0,2,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0
25,23,20,26,23,32,14,17,9,4,3,10,7,9,2,13,3,6,3,4,11,9,4,2,1,5,2,1,0,1,2,2,1,3,1,0,1,0,0,1,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,23,19,26,23,31,13,15,8,4,3,10,7,9,1,12,3,6,4,4,11,8,4,2,1,4,2,1,1,1,2,1,1,1,1,0,1,1,0,1,0,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,23,19,25,23,31,13,14,7,4,4,10,8,7,1,12,3,6,4,4,7,7,4,1,1,4,2,1,1,1,1,2,1,0,1,0,1,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,23,19,25,23,31,13,14,6,2,4,9,8,6,1,12,4,4,5,4,8,7,4,1,1,3,1,1,0,1,1,2,2,0,1,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,23,19,25,23,31,12,14,4,4,5,9,7,4,2,11,6,3,6,4,6,6,2,0,1,2,1,0,0,1,2,3,2,0,1,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,23,19,24,23,31,11,14,3,3,7,8,7,5,2,11,5,3,4,4,7,6,1,1,1,2,1,0,0,1,1,4,1,0,1,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,23,20,24,23,31,11,14,2,4,7,9,7,4,2,11,5,4,5,4,5,6,1,2,1,1,0,1,0,1,2,4,1,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,22,20,23,22,31,12,13,2,3,7,9,9,4,2,12,6,3,7,4,4,6,1,2,1,1,0,1,0,1,2,4,2,0,2,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,22,20,24,22,31,12,14,4,3,7,10,9,3,2,12,6,3,7,4,4,8,3,0,1,3,0,1,0,0,2,4,0,0,3,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,23,21,24,22,31,14,15,5,2,7,12,9,3,3,15,6,2,7,4,3,9,3,0,1,4,0,1,0,0,1,6,0,0,4,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,24,21,24,22,30,14,15,4,2,7,12,10,3,4,15,7,1,7,3,3,10,3,0,1,4,0,0,0,0,1,6,1,0,4,1,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,24,22,23,23,30,14,17,7,2,6,12,10,3,4,15,7,1,6,2,3,11,4,0,1,6,0,0,0,0,1,6,1,0,4,1,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,22,22,23,29,13,18,7,2,3,13,9,4,4,14,7,1,6,2,3,12,3,0,1,6,0,0,0,0,0,6,1,0,3,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,22,22,23,29,14,17,7,0,3,11,10,3,5,14,8,1,4,3,3,12,3,0,1,6,0,0,0,0,0,6,1,0,1,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,21,22,23,29,14,17,8,0,2,9,10,3,7,14,5,2,3,2,3,11,4,0,1,6,0,0,0,0,0,5,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,21,22,23,29,14,17,8,1,3,7,10,3,7,14,5,2,1,3,1,9,4,0,1,6,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,26,21,22,23,29,14,19,9,1,3,6,11,2,8,14,5,2,1,3,1,10,5,0,1,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,26,21,22,23,29,13,19,10,2,4,6,10,1,8,13,5,3,1,3,1,10,5,0,2,10,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,26,21,22,23,28,14,20,12,2,4,8,10,1,7,12,5,3,2,3,2,12,6,0,2,14,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,26,21,23,23,28,15,21,14,2,4,8,10,1,7,11,6,3,2,3,2,13,5,0,2,14,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,26,20,23,23,28,15,20,13,2,4,9,12,1,7,11,6,3,2,4,2,12,6,0,3,13,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,26,20,23,22,28,15,18,13,3,4,9,12,1,9,11,6,3,2,6,1,11,8,0,3,14,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,26,20,23,22,29,15,17,16,3,5,9,11,1,9,12,5,4,2,6,1,10,8,0,2,16,1,0,0,2,0,4,0,1,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,20,23,22,29,16,15,16,3,5,9,11,0,10,13,4,4,2,6,1,10,8,0,2,15,0,0,0,2,0,4,0,1,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,20,23,23,29,15,14,16,3,5,9,10,0,10,13,2,4,2,5,1,8,7,0,2,13,0,0,0,2,0,4,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,20,22,24,29,15,16,15,5,6,9,10,1,8,11,2,5,2,6,1,8,7,1,3,12,0,2,0,0,0,3,0,1,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,20,22,24,29,15,17,16,8,6,8,10,2,10,11,4,5,2,6,1,8,7,4,3,12,3,2,0,0,0,3,1,2,0,1,0,0,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,26,20,22,24,29,15,17,16,8,6,9,9,3,10,12,5,4,3,4,1,9,7,4,3,11,4,2,0,0,0,3,1,2,0,1,0,0,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,26,20,22,24,29,15,19,16,8,5,9,8,3,10,12,5,3,1,4,1,10,5,4,2,9,4,1,0,0,0,2,1,2,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,26,20,21,25,29,14,18,15,7,6,9,8,3,11,14,6,3,1,5,1,6,4,3,2,10,5,1,0,0,1,2,1,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,26,20,21,25,29,14,16,15,7,6,9,8,4,11,14,7,4,1,5,1,6,5,3,3,10,4,1,0,0,1,2,1,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,26,19,21,25,29,14,17,12,6,5,9,8,5,9,15,6,3,1,4,1,9,6,3,2,8,1,2,0,0,1,2,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,25,20,21,25,29,15,18,11,7,5,10,8,6,9,15,5,4,2,4,1,9,5,3,2,10,2,2,0,1,1,3,1,1,1,2,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,20,21,26,30,15,18,11,8,5,10,6,6,8,18,5,5,2,4,1,10,5,1,3,11,3,2,0,2,1,1,1,2,1,2,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,27,20,21,26,30,15,18,11,7,5,8,5,6,6,19,5,5,2,4,2,8,4,1,3,11,3,4,0,2,1,2,1,2,1,2,0,0,3,0,0,1,1,1,0,2,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0
26,28,19,21,26,30,16,17,10,7,5,7,3,8,8,17,4,5,1,3,2,8,4,4,3,10,2,4,0,2,1,2,1,2,0,2,0,0,3,0,0,2,2,2,0,2,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0
26,28,19,21,26,30,16,18,10,7,5,8,3,8,8,17,3,7,1,3,2,11,4,4,3,9,2,4,0,2,1,3,1,3,0,2,0,0,4,0,0,4,2,3,0,2,0,0,3,0,0,0,2,0,0,0,0,3,0,0,0,0,0
26,28,19,21,27,30,17,16,10,7,6,8,4,7,8,16,3,7,1,3,2,12,5,4,3,8,3,4,0,2,0,3,1,3,0,2,0,0,4,0,0,5,2,3,0,2,0,0,3,0,0,0,2,0,0,0,0,3,0,0,0,0,0
26,28,19,20,27,30,17,17,7,6,8,7,5,8,8,15,2,6,1,2,3,11,5,4,4,8,3,2,0,2,0,3,1,1,0,1,0,0,3,0,0,6,2,1,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
24,30,19,20,27,30,15,16,7,7,7,7,5,9,8,18,2,6,1,3,3,11,5,5,2,9,3,1,0,1,0,4,1,1,0,0,0,0,3,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,30,19,19,27,30,16,15,7,6,8,6,5,8,7,16,1,6,1,3,3,11,5,4,2,9,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,30,19,19,27,30,16,16,7,7,7,6,5,9,8,18,2,5,1,4,3,11,5,4,2,11,1,0,0,0,0,4,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,29,19,19,28,29,18,17,7,4,8,6,6,9,9,16,2,4,1,4,3,12,5,2,3,12,1,0,0,0,0,6,0,0,0,0,1,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,29,19,19,28,29,18,17,7,4,5,7,7,7,8,17,3,4,2,4,2,13,5,2,3,12,1,0,0,0,0,6,1,0,0,1,1,0,3,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,29,19,19,28,29,18,17,9,4,5,8,6,6,6,17,4,3,2,2,2,14,6,1,2,14,1,0,0,0,0,6,0,0,0,1,1,0,2,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,29,19,19,26,29,18,17,8,5,5,7,6,5,7,16,5,3,2,1,2,12,6,1,2,10,0,0,0,0,0,5,0,0,0,1,1,0,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,29,19,19,26,29,18,15,7,5,5,6,6,6,7,15,4,3,2,1,3,9,5,1,2,9,0,0,0,0,0,5,0,0,0,1,1,0,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,29,19,19,26,29,18,15,9,5,5,6,7,6,8,16,5,4,2,1,3,9,6,1,3,11,0,0,0,0,0,5,0,0,0,1,1,0,1,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,29,19,19,26,30,18,13,11,4,5,7,8,5,9,17,6,3,2,1,3,8,6,1,3,11,0,0,0,0,0,6,0,1,0,1,1,0,1,1,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,28,19,19,26,30,14,12,11,4,5,5,6,5,9,17,6,3,2,1,4,4,3,1,3,11,0,0,0,0,0,2,0,1,0,1,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,28,19,19,26,31,13,12,10,4,5,5,5,5,9,16,6,3,2,2,5,4,1,1,3,10,0,0,0,0,0,1,0,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,28,19,19,24,31,13,12,11,3,5,5,5,4,7,14,6,3,3,2,6,4,1,0,1,11,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,28,19,20,24,31,14,12,11,3,6,4,5,4,7,13,4,4,3,2,6,2,2,0,2,10,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,28,19,19,24,31,14,12,7,4,7,4,4,5,7,11,4,5,3,3,4,2,2,1,2,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,28,19,20,24,32,15,12,7,3,7,4,4,6,6,11,4,7,3,3,4,4,2,2,2,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,29,19,20,24,32,14,12,7,3,7,4,5,6,7,10,4,7,3,3,5,3,2,2,2,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,29,20,20,24,32,14,12,7,3,7,5,7,6,6,10,3,9,2,4,5,6,2,2,2,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,29,20,20,24,32,14,12,6,3,8,5,7,6,6,10,3,9,3,5,5,4,2,2,3,3,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,29,19,20,24,33,13,11,9,2,4,6,7,6,6,8,4,9,3,7,5,4,4,1,2,4,1,1,0,0,0,1,1,2,0,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,27,19,20,24,32,11,11,10,2,4,4,5,6,5,8,3,9,3,7,5,3,5,1,2,4,0,1,1,1,0,1,0,2,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,27,20,20,23,33,12,12,11,3,4,6,4,5,4,9,2,9,3,7,5,4,5,1,2,5,0,1,2,1,1,1,0,2,1,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,27,19,20,23,33,12,12,11,3,5,6,4,5,6,9,1,7,4,7,5,4,5,2,2,4,0,1,2,2,2,1,0,2,1,0,1,0,0,0,1,2,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
26,27,19,20,23,31,14,12,12,4,6,6,4,5,6,9,2,7,4,7,5,5,7,3,3,4,0,1,3,2,3,1,0,2,1,0,1,0,0,1,1,3,0,1,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
26,27,20,20,23,32,14,16,12,4,8,7,4,4,4,9,2,8,4,7,4,8,7,3,3,6,0,3,3,2,1,1,0,2,1,0,1,0,0,1,0,3,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,27,21,20,23,32,14,16,13,6,8,8,4,4,5,12,2,7,4,5,4,8,8,4,3,10,0,4,3,2,1,2,0,2,1,0,1,0,0,1,0,6,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,27,21,20,23,32,14,16,14,6,10,8,4,4,6,12,2,7,4,7,4,8,8,4,3,11,0,4,3,3,1,2,0,2,1,0,1,0,1,1,0,6,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,26,21,19,23,32,13,16,14,5,10,8,3,3,6,12,2,8,5,7,4,8,8,4,3,11,2,5,2,3,1,2,1,2,1,0,1,0,1,0,0,6,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,27,21,19,23,32,14,16,12,5,10,9,1,3,8,11,2,9,4,7,3,10,4,3,3,11,2,5,1,2,1,1,1,2,0,0,1,0,3,0,0,4,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,27,22,20,23,32,14,15,14,6,11,9,1,2,6,11,2,8,5,7,3,6,4,3,2,13,2,7,3,3,1,0,1,2,0,0,1,1,6,0,0,0,2,2,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,28,22,20,25,32,15,15,13,5,11,10,3,3,7,10,3,8,4,8,4,6,4,3,2,12,2,7,1,3,2,0,1,2,0,1,1,1,5,0,1,0,2,2,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,27,23,20,25,32,15,15,12,5,13,10,3,3,7,10,3,10,3,8,4,6,3,3,3,12,2,9,1,5,1,0,1,2,0,1,0,0,5,0,1,0,2,2,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,28,23,20,25,32,15,15,12,4,11,10,5,5,5,10,3,10,3,7,5,7,3,3,2,10,2,9,1,5,1,0,1,3,0,1,0,0,5,0,1,0,2,3,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,28,23,20,25,32,16,17,12,4,11,12,5,5,8,9,3,11,3,7,4,10,1,3,3,12,2,11,1,5,0,2,1,7,0,1,0,0,6,0,0,1,2,6,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,28,23,20,25,31,16,15,12,4,10,12,5,5,8,10,3,11,4,7,4,9,1,2,3,11,1,11,1,5,0,2,1,7,1,1,0,0,6,0,0,1,1,6,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,28,23,20,25,31,15,12,12,3,8,12,5,6,7,10,3,10,4,6,4,7,2,3,2,10,1,7,0,3,0,2,1,7,1,1,0,0,3,0,0,1,1,4,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,28,23,20,25,30,14,13,11,4,7,12,4,6,9,10,2,10,2,5,3,7,2,3,2,9,0,8,1,2,1,2,0,7,1,1,0,0,2,0,0,1,0,4,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,28,23,21,25,30,15,13,11,4,5,11,4,6,10,11,1,9,2,4,3,6,2,3,3,8,0,6,1,0,1,2,0,7,1,1,0,0,1,0,0,1,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,28,23,21,26,30,16,14,11,3,4,14,4,5,9,10,1,9,2,2,4,7,2,1,3,8,0,5,1,0,1,2,0,7,1,1,0,0,1,0,0,1,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,28,22,21,26,31,17,12,11,3,4,13,5,5,9,10,1,8,1,2,4,7,2,1,3,7,0,4,1,0,1,2,0,6,1,1,0,0,1,0,0,1,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,28,22,21,26,31,17,13,11,2,4,14,4,5,9,11,1,8,2,2,4,9,1,1,3,9,0,4,1,0,1,2,0,6,0,1,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,28,22,21,26,31,18,14,12,3,4,14,6,6,9,11,1,7,2,2,4,10,1,1,3,10,0,3,1,0,1,3,0,6,0,1,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,28,22,21,26,31,18,13,12,3,3,13,7,6,8,12,1,7,2,2,3,8,1,0,1,8,0,2,1,0,1,3,0,4,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,28,21,20,26,31,19,13,12,4,3,13,7,5,8,11,0,6,1,3,6,7,1,0,1,9,0,2,1,0,1,3,0,4,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,28,21,20,26,32,20,12,12,4,2,14,6,4,8,11,0,6,1,5,6,9,0,0,1,7,0,1,1,0,1,4,0,4,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,28,21,20,26,32,21,12,12,4,2,14,6,3,8,10,0,7,2,5,9,13,0,0,1,7,0,1,1,0,1,3,0,2,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,27,21,19,26,32,22,10,12,4,2,15,7,3,9,10,0,4,2,5,9,11,4,0,1,7,0,1,1,0,1,4,0,2,0,1,1,0,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,27,20,19,26,32,22,10,12,5,2,14,6,3,7,9,0,4,2,5,8,11,4,1,1,6,0,1,1,0,1,4,0,1,0,1,1,0,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
